n,comp-id,session-start,Age groups,ItemID,ItemSeq,Item,ItemType,DivID,(wrong DivID),DivisionName,RawDiv,Section Team(s),Routine,ClubID,ClubSlug,Team,Music,Sivey,Bree,,cohortKey,cohortID,team laravel,session laravel,session_division,sesssion team rank,session itmes,teamkey,teamID,sessionItemKey,sessionItemID,routine,a,a,a,a,a,a,a,a,a,a,a
172,1,2021-05-18 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 1,5,12,Reynella Braeview,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
173,1,2021-05-18 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 1,6,9,Marden,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
174,1,2021-05-18 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 1,1,3,Innovation,1,A day with Mary,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
175,1,2021-05-18 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 1,2,8,Burnside,1,I've got Rhythm,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
176,1,2021-05-18 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 1,3,12,Reynella Braeview,1,J'adore Paris,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
177,1,2021-05-18 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 1,4,36,Ridgehaven,1,Welcome to Paris,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
178,1,2021-05-18 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 1,5,14,Plympton Halifax,1,Pinocchio,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
179,1,2021-05-18 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 1,6,9,Marden,1,The Sweets Shop,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
180,1,2021-05-18 19:30:00,Seniors,1,1,Figure March,Core,3,,Division 3,Division 3,,1,10,Waratah,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
181,1,2021-05-18 19:30:00,Seniors,1,1,Figure March,Core,3,,Division 3,Division 3,,2,2,Acacia,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
182,1,2021-05-18 19:30:00,Seniors,1,1,Figure March,Core,3,,Division 3,Division 3,,3,38,Seaford,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
183,1,2021-05-18 19:30:00,Seniors,1,1,Figure March,Core,3,,Division 3,Division 3,,4,31,Para Vista,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
184,1,2021-05-18 19:30:00,Seniors,1,1,Figure March,Core,3,,Division 3,Division 3,,5,34,Aurora,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
185,1,2021-05-18 19:30:00,Seniors,4,2,Club Swinging,Core,3,,Division 3,Division 3,,1,38,Seaford,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
186,1,2021-05-18 19:30:00,Seniors,4,2,Club Swinging,Core,3,,Division 3,Division 3,,2,10,Waratah,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
187,1,2021-05-18 19:30:00,Seniors,4,2,Club Swinging,Core,3,,Division 3,Division 3,,3,34,Aurora,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
188,1,2021-05-18 19:30:00,Seniors,4,2,Club Swinging,Core,3,,Division 3,Division 3,,4,31,Para Vista,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
189,1,2021-05-18 19:30:00,Seniors,4,2,Club Swinging,Core,3,,Division 3,Division 3,,5,2,Acacia,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
190,1,2021-05-18 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,3,,Division 3,Division 3,,1,34,Aurora,1,Is that alright?,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
191,1,2021-05-18 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,3,,Division 3,Division 3,,2,38,Seaford,1,My love for the stage,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
192,1,2021-05-18 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,3,,Division 3,Division 3,,3,2,Acacia,1,You're Never Alone,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
193,1,2021-05-18 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,3,,Division 3,Division 3,,4,31,Para Vista,1,Letters,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
194,1,2021-05-18 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,3,,Division 3,Division 3,,5,10,Waratah,1,Prince of Egypt,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
195,1,2021-05-19 18:00:00,Intermediates,2,1,Free Exercises,Core,1,,Division 1,Division 1,Team 2,1,12,Reynella Braeview,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
196,1,2021-05-19 18:00:00,Intermediates,2,1,Free Exercises,Core,1,,Division 1,Division 1,Team 2,2,14,Plympton Halifax,2,,,Maybe?,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
197,1,2021-05-19 18:00:00,Intermediates,2,1,Free Exercises,Core,1,,Division 1,Division 1,Team 2,3,41,Seaton,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
198,1,2021-05-19 18:00:00,Intermediates,3,2,Rod Exercises,Core,1,,Division 1,Division 1,Team 2,1,12,Reynella Braeview,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
199,1,2021-05-19 18:00:00,Intermediates,3,2,Rod Exercises,Core,1,,Division 1,Division 1,Team 2,2,41,Seaton,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
200,1,2021-05-19 18:00:00,Intermediates,3,2,Rod Exercises,Core,1,,Division 1,Division 1,Team 2,3,14,Plympton Halifax,2,,,Maybe?,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
201,1,2021-05-19 18:00:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,1,,Division 1,Division 1,Team 2,1,12,Reynella Braeview,2,A World we Design,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
202,1,2021-05-19 18:00:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,1,,Division 1,Division 1,Team 2,2,14,Plympton Halifax,2,Find your Voice,,Maybe?,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
203,1,2021-05-19 18:00:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,1,,Division 1,Division 1,Team 2,3,41,Seaton,2,Arabian Nights,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
204,1,2021-05-19 19:30:00,Intermediates,2,1,Free Exercises,Core,1,,Division 1,Division 1,Team 1,1,41,Seaton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
205,1,2021-05-19 19:30:00,Intermediates,2,1,Free Exercises,Core,1,,Division 1,Division 1,Team 1,2,14,Plympton Halifax,1,,,Maybe?,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
206,1,2021-05-19 19:30:00,Intermediates,2,1,Free Exercises,Core,1,,Division 1,Division 1,Team 1,3,13,Brighton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
207,1,2021-05-19 19:30:00,Intermediates,2,1,Free Exercises,Core,1,,Division 1,Division 1,Team 1,4,12,Reynella Braeview,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
208,1,2021-05-19 19:30:00,Intermediates,2,1,Free Exercises,Core,1,,Division 1,Division 1,Team 1,5,27,Gleneliz,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
209,1,2021-05-19 19:30:00,Intermediates,2,1,Free Exercises,Core,1,,Division 1,Division 1,Team 1,6,6,Gawler,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
210,1,2021-05-19 19:30:00,Intermediates,3,2,Rod Exercises,Core,1,,Division 1,Division 1,Team 1,1,13,Brighton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
211,1,2021-05-19 19:30:00,Intermediates,3,2,Rod Exercises,Core,1,,Division 1,Division 1,Team 1,2,14,Plympton Halifax,1,,,Maybe?,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
212,1,2021-05-19 19:30:00,Intermediates,3,2,Rod Exercises,Core,1,,Division 1,Division 1,Team 1,3,6,Gawler,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
213,1,2021-05-19 19:30:00,Intermediates,3,2,Rod Exercises,Core,1,,Division 1,Division 1,Team 1,4,41,Seaton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
214,1,2021-05-19 19:30:00,Intermediates,3,2,Rod Exercises,Core,1,,Division 1,Division 1,Team 1,5,27,Gleneliz,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
215,1,2021-05-19 19:30:00,Intermediates,3,2,Rod Exercises,Core,1,,Division 1,Division 1,Team 1,6,12,Reynella Braeview,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
216,1,2021-05-19 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,1,,Division 1,Division 1,,1,14,Plympton Halifax,1,You will be found,,Maybe?,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
217,1,2021-05-19 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,1,,Division 1,Division 1,,2,27,Gleneliz,1,Pandora's Box,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
218,1,2021-05-19 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,1,,Division 1,Division 1,,3,6,Gawler,1,Pan,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
219,1,2021-05-19 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,1,,Division 1,Division 1,,4,12,Reynella Braeview,1,The Bells of Notre Dame,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
220,1,2021-05-19 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,1,,Division 1,Division 1,,5,41,Seaton,1,A Love Story,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
221,1,2021-05-19 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,1,,Division 1,Division 1,,6,13,Brighton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
222,1,2021-05-20 18:00:00,Intermediates,2,1,Free Exercises,Core,0,,Championship Division,Championship Division,Team 2,1,7,AVV Millennium,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
223,1,2021-05-20 18:00:00,Intermediates,2,1,Free Exercises,Core,0,,Championship Division,Championship Division,Team 2,2,36,Ridgehaven,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
224,1,2021-05-20 18:00:00,Intermediates,2,1,Free Exercises,Core,0,,Championship Division,Championship Division,Team 2,3,3,Innovation,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
225,1,2021-05-20 18:00:00,Intermediates,2,1,Free Exercises,Core,0,,Championship Division,Championship Division,Team 2,4,9,Marden,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
226,1,2021-05-20 18:00:00,Intermediates,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 2,1,36,Ridgehaven,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
227,1,2021-05-20 18:00:00,Intermediates,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 2,2,7,AVV Millennium,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
228,1,2021-05-20 18:00:00,Intermediates,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 2,3,3,Innovation,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
229,1,2021-05-20 18:00:00,Intermediates,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 2,4,9,Marden,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
230,1,2021-05-20 18:00:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,0,,Championship Division,Championship Division,Team 2,1,36,Ridgehaven,2,Pure Imagination,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
231,1,2021-05-20 18:00:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,0,,Championship Division,Championship Division,Team 2,2,3,Innovation,2,The Kings New Clothes,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
232,1,2021-05-20 19:30:00,Intermediates,2,1,Free Exercises,Core,0,,Championship Division,Championship Division,Team 1,1,8,Burnside,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
233,1,2021-05-20 19:30:00,Intermediates,2,1,Free Exercises,Core,0,,Championship Division,Championship Division,Team 1,2,9,Marden,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
234,1,2021-05-20 19:30:00,Intermediates,2,1,Free Exercises,Core,0,,Championship Division,Championship Division,Team 1,3,3,Innovation,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
235,1,2021-05-20 19:30:00,Intermediates,2,1,Free Exercises,Core,0,,Championship Division,Championship Division,Team 1,4,29,Jem,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
236,1,2021-05-20 19:30:00,Intermediates,2,1,Free Exercises,Core,0,,Championship Division,Championship Division,Team 1,5,7,AVV Millennium,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
237,1,2021-05-20 19:30:00,Intermediates,2,1,Free Exercises,Core,0,,Championship Division,Championship Division,Team 1,6,36,Ridgehaven,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
238,1,2021-05-20 19:30:00,Intermediates,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 1,1,8,Burnside,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
239,1,2021-05-20 19:30:00,Intermediates,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 1,2,29,Jem,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
240,1,2021-05-20 19:30:00,Intermediates,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 1,3,9,Marden,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
241,1,2021-05-20 19:30:00,Intermediates,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 1,4,3,Innovation,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
242,1,2021-05-20 19:30:00,Intermediates,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 1,5,36,Ridgehaven,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
243,1,2021-05-20 19:30:00,Intermediates,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 1,6,7,AVV Millennium,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
244,1,2021-05-20 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,0,,Championship Division,Championship Division,Team 1,1,9,Marden,1,Fire and Ice,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
245,1,2021-05-20 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,0,,Championship Division,Championship Division,Team 1,2,8,Burnside,1,I'm Here,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
246,1,2021-05-20 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,0,,Championship Division,Championship Division,Team 1,3,7,AVV Millennium,1,The Witch's Spell,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
247,1,2021-05-20 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,0,,Championship Division,Championship Division,Team 1,4,36,Ridgehaven,1,Welcome to Agrabah,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
248,1,2021-05-20 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,0,,Championship Division,Championship Division,Team 1,5,29,Jem,1,Pan,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
249,1,2021-05-20 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,0,,Championship Division,Championship Division,Team 1,6,3,Innovation,1,Bird set free,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
250,1,2021-05-21 18:00:00,Sub Juniors,1,1,Figure March,Core,1,,Division 1,Division 1,Team 2 & 3,1,7,AVV Millennium,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
251,1,2021-05-21 18:00:00,Sub Juniors,1,1,Figure March,Core,1,,Division 1,Division 1,Team 2 & 3,2,7,AVV Millennium,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
252,1,2021-05-21 18:00:00,Sub Juniors,1,1,Figure March,Core,1,,Division 1,Division 1,Team 2 & 3,3,40,Del Sante Gardens,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
253,1,2021-05-21 18:00:00,Sub Juniors,1,1,Figure March,Core,1,,Division 1,Division 1,Team 2 & 3,4,13,Brighton,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
254,1,2021-05-21 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,1,,Division 1,Division 1,Team 2 & 3,1,7,AVV Millennium,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
255,1,2021-05-21 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,1,,Division 1,Division 1,Team 2 & 3,2,7,AVV Millennium,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
256,1,2021-05-21 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,1,,Division 1,Division 1,Team 2 & 3,3,40,Del Sante Gardens,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
